hood_id,crime,year,rate
156,assault,2022,809.9536743
156,assault,2023,1140.904053
156,autotheft,2014,187.7581635
156,autotheft,2015,195.6016083
156,autotheft,2016,218.4087372
156,autotheft,2017,128.008194
156,autotheft,2018,196.4042969
156,autotheft,2019,173.6541748
156,autotheft,2020,226.6009827
156,autotheft,2021,373.9053345
156,autotheft,2022,404.9768372
156,autotheft,2023,693.2075195
156,biketheft,2014,53.64519119
156,biketheft,2015,37.0057106
156,biketheft,2016,20.80083275
156,biketheft,2017,117.76754
156,biketheft,2018,10.07201481
156,biketheft,2019,14.88464355
156,biketheft,2020,4.92610836
156,biketheft,2021,19.67922783
156,biketheft,2022,28.88364704
156,biketheft,2023,48.13941193
156,breakenter,2014,380.8808594
156,breakenter,2015,174.4554901
156,breakenter,2016,156.0062408
156,breakenter,2017,138.2488403
156,breakenter,2018,166.1882477
156,breakenter,2019,148.8464355
156,breakenter,2020,98.52217102
156,breakenter,2021,93.47633362
156,breakenter,2022,117.1017303
156,breakenter,2023,139.6042938
156,homicide,2014,0
156,homicide,2015,0
156,homicide,2016,10.40041637
156,homicide,2017,0
156,homicide,2018,0
156,homicide,2019,4.961547852
156,homicide,2020,4.92610836
156,homicide,2021,0
156,homicide,2022,9.758477211
156,homicide,2023,NA
156,robbery,2014,278.9549866
156,robbery,2015,290.7591553
156,robbery,2016,249.6099854
156,robbery,2017,343.0619507
156,robbery,2018,221.5843353
156,robbery,2019,173.6541748
156,robbery,2020,93.59606171
156,robbery,2021,241.0705566
156,robbery,2022,263.4789124
156,robbery,2023,264.7667542
156,shooting,2014,5.364519119
156,shooting,2015,5.286530018
156,shooting,2016,15.60062408
156,shooting,2017,25.60163879
156,shooting,2018,5.036007404
156,shooting,2019,14.88464355
156,shooting,2020,34.48275757
156,shooting,2021,24.59903526
156,shooting,2022,34.15467072
156,shooting,2023,4.813941002
156,theftfrommv,2014,450.6195984
156,theftfrommv,2015,338.3379211
156,theftfrommv,2016,228.8091583
156,theftfrommv,2017,327.7009583
156,theftfrommv,2018,266.9083862
156,theftfrommv,2019,248.0773926
156,theftfrommv,2020,216.748764
156,theftfrommv,2021,201.7120972
156,theftfrommv,2022,332.161941
156,theftfrommv,2023,365.8595276
156,theftover,2014,32.18711472
156,theftover,2015,42.29224014
156,theftover,2016,41.6016655
156,theftover,2017,87.04557037
156,theftover,2018,65.46809387
156,theftover,2019,39.69238281
156,theftover,2020,19.70443344
156,theftover,2021,34.43864822
156,theftover,2022,63.4301033
156,theftover,2023,96.27882385
155,assault,2014,722.5250244
155,assault,2015,804.9182129
155,assault,2016,828.0134277
155,assault,2017,852.7324829
155,assault,2018,776.3310547
155,assault,2019,861.9130859
155,assault,2020,766.6506958
